example_index,example_id,session_index,dialogue_id,dialogue_turns,api_call_count,session_input_tokens,before_memory_count,after_memory_count,before_memory_tokens,after_memory_tokens,delta_memory_count,delta_memory_tokens,add_event_ids,add_event_statuses,status,error
5,dev_0015,9,19_00029,30,2,450,25,27,742,795,2,53,"[""91f1df58-e34c-494d-a0ac-afd8d62228f0""]","[""SUCCEEDED""]",OK,
6,dev_0020,0,6_00117,12,1,163,0,2,0,22,2,22,"[""c2c0ac15-ce92-457f-935e-1a9c5fb3d85c""]","[""SUCCEEDED""]",OK,
6,dev_0020,1,1_00084,12,1,253,2,3,22,72,1,50,"[""34fbc9f8-43af-4f2f-846c-0238313f497a""]","[""SUCCEEDED""]",OK,
6,dev_0020,2,18_00108,24,2,352,3,9,72,198,6,126,"[""8a7608bb-ea31-4c6c-a2b0-9e91b8245465""]","[""SUCCEEDED""]",OK,
6,dev_0020,3,12_00034,26,2,377,9,14,198,306,5,108,"[""0ea08edc-ca84-4873-ae64-cd98565ae9bd""]","[""SUCCEEDED""]",OK,
6,dev_0020,4,3_00121,8,1,148,14,15,306,345,1,39,"[""685d2ac0-f0fb-4e6c-84ff-587aa6925f4e""]","[""SUCCEEDED""]",OK,
6,dev_0020,5,13_00123,38,1,620,15,21,345,473,6,128,"[""c0676081-bc7b-4bb3-ab60-f00fc674385b""]","[""SUCCEEDED""]",OK,
6,dev_0020,6,9_00104,10,1,168,21,25,473,528,4,55,"[""2eeae479-e570-42fa-bcbd-46ec546a0f26""]","[""SUCCEEDED""]",OK,
6,dev_0020,7,11_00106,22,1,300,25,29,528,601,4,73,"[""306d2508-9b4a-4052-9ec7-86117ccbe80e""]","[""SUCCEEDED""]",OK,
6,dev_0020,8,9_00113,12,1,172,29,30,601,619,1,18,"[""dd94497b-9778-47f5-a019-b3335de7e8e3""]","[""SUCCEEDED""]",OK,
6,dev_0020,9,20_00012,20,2,307,30,33,619,684,3,65,"[""5d382bd5-ea37-413f-b8e9-38ed73a7f366""]","[""SUCCEEDED""]",OK,
7,dev_0021,0,14_00058,18,2,270,0,2,0,52,2,52,"[""fbebead7-81df-428a-9697-e30c89c86578""]","[""SUCCEEDED""]",OK,
7,dev_0021,1,5_00053,6,1,90,2,3,52,65,1,13,"[""2a27a808-3709-4f3e-a6a9-61d6c9ec720e""]","[""SUCCEEDED""]",OK,
7,dev_0021,2,16_00010,26,3,410,3,7,65,169,4,104,"[""fe43067e-2c35-4a8c-a811-0cd0d4eb96f0""]","[""SUCCEEDED""]",OK,
7,dev_0021,3,6_00078,26,1,427,7,9,169,245,2,76,"[""a6e82899-2980-4a2a-b6be-5d09de9a6b63""]","[""SUCCEEDED""]",OK,
7,dev_0021,4,6_00061,18,1,347,9,11,245,291,2,46,"[""22bd22bb-c5ab-49a4-9fbd-db278ab6cefd""]","[""SUCCEEDED""]",OK,
7,dev_0021,5,13_00060,18,3,287,11,13,291,385,2,94,"[""bb6b8312-7f31-4b85-a73f-c5c2fe737b21""]","[""SUCCEEDED""]",OK,
7,dev_0021,6,9_00061,14,2,255,13,14,385,408,1,23,"[""26669c9a-668a-4e37-ab24-0493357d9607""]","[""SUCCEEDED""]",OK,
7,dev_0021,7,15_00031,18,2,337,14,16,408,472,2,64,"[""dd38ccff-83cb-4f76-8e8c-8c183764a9d7""]","[""SUCCEEDED""]",OK,
7,dev_0021,8,20_00091,22,2,310,16,17,472,520,1,48,"[""9eda0c17-c380-413f-bab9-46d6206cda98""]","[""SUCCEEDED""]",OK,
8,dev_0022,0,16_00021,28,3,372,0,3,0,99,3,99,"[""5c84ee1f-f69f-496b-a1b7-8bad69d94e65""]","[""SUCCEEDED""]",OK,
8,dev_0022,1,10_00102,18,2,237,3,7,99,162,4,63,"[""e097576e-b891-48a0-a375-004bc4fa1949""]","[""SUCCEEDED""]",OK,
8,dev_0022,2,17_00107,44,2,755,7,17,162,366,10,204,"[""bab29cd1-413b-4019-98a9-8ecbd57b1bcd""]","[""SUCCEEDED""]",OK,
8,dev_0022,3,16_00064,16,2,171,17,19,366,405,2,39,"[""78f373ae-df53-4683-b8b0-0936398b1316""]","[""SUCCEEDED""]",OK,
8,dev_0022,4,18_00077,22,2,330,19,24,405,505,5,100,"[""6f96c062-7a3c-4481-8506-e03102d75d7f""]","[""SUCCEEDED""]",OK,
8,dev_0022,5,3_00044,16,0,242,24,28,505,567,4,62,"[""ffb5be2b-3e72-4ff2-ab45-487fccaee9c4""]","[""SUCCEEDED""]",OK,
8,dev_0022,6,2_00003,12,1,183,28,29,567,600,1,33,"[""b9b6de54-73df-4d0e-a24e-c7d83c6e64c4""]","[""SUCCEEDED""]",OK,
8,dev_0022,7,16_00057,18,2,349,29,31,600,648,2,48,"[""32281bd0-a28b-4067-b96b-5f8e0fbfee4e""]","[""SUCCEEDED""]",OK,
8,dev_0022,8,9_00091,8,1,146,31,33,648,661,2,13,"[""38345bb5-7138-4183-ba56-ef834a394c20""]","[""SUCCEEDED""]",OK,
9,dev_0025,0,12_00044,32,2,357,0,2,0,61,2,61,"[""e051f0b1-2cb7-44ea-9070-df67bb0ac28c""]","[""SUCCEEDED""]",OK,
9,dev_0025,1,17_00020,16,3,236,2,5,61,116,3,55,"[""4993270b-4879-446c-a595-2221952e6423""]","[""SUCCEEDED""]",OK,
9,dev_0025,2,9_00100,8,1,85,5,8,116,166,3,50,"[""d82b744a-254f-463a-ae18-e544a827b6fb""]","[""SUCCEEDED""]",OK,
9,dev_0025,3,18_00100,20,2,298,8,11,166,239,3,73,"[""cc8374b0-3acf-4e5c-931b-15b22dca79f8""]","[""SUCCEEDED""]",OK,
9,dev_0025,4,9_00086,14,2,200,11,14,239,288,3,49,"[""bd594392-5691-4a22-922c-728aee960d03""]","[""SUCCEEDED""]",OK,
9,dev_0025,5,1_00064,10,1,172,14,18,288,338,4,50,"[""f981cb1e-0832-49f4-8699-8d0799547117""]","[""SUCCEEDED""]",OK,
9,dev_0025,6,2_00011,12,1,142,18,19,338,355,1,17,"[""00cfc515-02b4-4760-a93e-dbd7d1724251""]","[""SUCCEEDED""]",OK,
9,dev_0025,7,4_00106,26,1,328,19,22,355,427,3,72,"[""26cb00eb-0210-4c43-9a15-890b6b696225""]","[""SUCCEEDED""]",OK,
10,dev_0027,0,19_00068,22,2,191,0,3,0,75,3,75,"[""77083855-1877-4099-899f-04c6ffe4f95b""]","[""SUCCEEDED""]",OK,
10,dev_0027,1,7_00052,16,1,221,3,5,75,114,2,39,"[""6955a23e-b7b6-4bd6-b2db-8440f32363ec""]","[""SUCCEEDED""]",OK,
10,dev_0027,2,1_00124,14,1,144,5,6,114,130,1,16,"[""8e6032d2-1080-40de-9723-ec2f738a2ae6""]","[""SUCCEEDED""]",OK,
10,dev_0027,3,7_00049,10,1,160,6,9,130,177,3,47,"[""a6262f59-bd08-45fc-bc21-7c64d8327ae4""]","[""SUCCEEDED""]",OK,
10,dev_0027,4,1_00014,12,1,161,9,10,177,207,1,30,"[""d46a9df4-73db-4384-a46d-6feb00196449""]","[""SUCCEEDED""]",OK,
10,dev_0027,5,2_00064,22,1,297,10,12,207,272,2,65,"[""8e26677d-8dc9-4431-be2c-b5e744ececdb""]","[""SUCCEEDED""]",OK,
10,dev_0027,6,3_00076,10,1,152,12,15,272,330,3,58,"[""cb3460c3-2ca9-4980-9998-b4b70dd7cde6""]","[""SUCCEEDED""]",OK,
11,dev_0028,0,2_00037,14,1,195,0,3,0,56,3,56,"[""a2ad33bf-e160-43b5-9535-660a3e9f07fd""]","[""SUCCEEDED""]",OK,
11,dev_0028,1,14_00098,20,2,275,3,6,56,100,3,44,"[""48badd74-213e-4180-8ded-c691efe1545d""]","[""SUCCEEDED""]",OK,
11,dev_0028,2,8_00059,16,2,236,6,8,100,152,2,52,"[""ca7581c0-0c7f-403b-92b6-d0ddf38d7684""]","[""SUCCEEDED""]",OK,
11,dev_0028,3,10_00123,26,2,239,8,10,152,222,2,70,"[""ae562d95-dc40-4a65-aa2c-5da271f19088""]","[""SUCCEEDED""]",OK,
11,dev_0028,4,14_00024,30,2,488,10,16,222,451,6,229,"[""996508f3-0bbb-4d03-a52b-f46ae168198b""]","[""SUCCEEDED""]",OK,
11,dev_0028,5,10_00110,18,2,222,16,19,451,512,3,61,"[""48c98e5a-6c91-4932-8d97-8ee932decb20""]","[""SUCCEEDED""]",OK,
11,dev_0028,6,1_00027,14,1,231,19,20,512,560,1,48,"[""1ee96338-3d6a-4056-b453-fd7fdc460c74""]","[""SUCCEEDED""]",OK,
11,dev_0028,7,16_00038,36,3,454,20,27,560,678,7,118,"[""a7a636c9-6b2e-4090-9a8f-7709e8b2f400""]","[""SUCCEEDED""]",OK,
11,dev_0028,8,1_00013,12,1,219,27,28,678,710,1,32,"[""c892ba01-a820-45b8-a600-b5d16332ee15""]","[""SUCCEEDED""]",OK,
12,dev_0029,0,12_00006,28,2,394,0,2,0,67,2,67,"[""2ed8fcee-95e7-4d95-a218-1c0cf90dd348""]","[""SUCCEEDED""]",OK,
12,dev_0029,1,2_00013,12,1,150,2,3,67,91,1,24,"[""728a2fa9-f5ef-40b3-be31-9e4828f78544""]","[""SUCCEEDED""]",OK,
12,dev_0029,2,9_00009,22,2,261,3,8,91,163,5,72,"[""5eacdf5e-d7f0-4d2c-9b2d-8cd17517cb79""]","[""SUCCEEDED""]",OK,
12,dev_0029,3,8_00084,20,2,303,8,10,163,242,2,79,"[""b2934d6f-c544-4991-9bd3-1b372e5526f8""]","[""SUCCEEDED""]",OK,
12,dev_0029,4,17_00065,34,4,612,10,14,242,427,4,185,"[""312f25df-5779-407a-97f6-0a644bb2b6b7""]","[""SUCCEEDED""]",OK,
12,dev_0029,5,14_00044,14,2,294,14,15,427,473,1,46,"[""424ad56a-d84a-4c32-b52c-9a9b074bda6d""]","[""SUCCEEDED""]",OK,
12,dev_0029,6,5_00023,6,1,111,15,17,473,503,2,30,"[""a2cb094a-de2c-4476-84da-48b8161a1db5""]","[""SUCCEEDED""]",OK,
12,dev_0029,7,12_00000,26,2,445,17,17,503,539,0,36,"[""5545e2c3-1f66-4135-a347-72925abb737f""]","[""SUCCEEDED""]",OK,
13,dev_0030,0,2_00104,16,1,180,0,1,0,29,1,29,"[""b534b950-0572-41c6-882d-d0e2d00c53e6""]","[""SUCCEEDED""]",OK,
13,dev_0030,1,1_00024,12,1,201,1,2,29,70,1,41,"[""da14110c-7e88-41be-b988-aee1a478f05c""]","[""SUCCEEDED""]",OK,
13,dev_0030,2,8_00016,26,2,426,2,3,70,119,1,49,"[""01548622-fe8b-42dc-bedd-d395ad12d9c7""]","[""SUCCEEDED""]",OK,
13,dev_0030,3,6_00122,22,1,318,3,8,119,218,5,99,"[""106ef4a6-c5ee-4689-a0fc-8586bda57417""]","[""SUCCEEDED""]",OK,
13,dev_0030,4,8_00125,20,2,311,8,11,218,266,3,48,"[""f079a6e4-7a9f-43b0-a752-3522faff6b2b""]","[""SUCCEEDED""]",OK,
13,dev_0030,5,14_00110,32,3,454,11,14,266,390,3,124,"[""e328ed78-0c49-4ed2-afd9-c4ff0538d857""]","[""SUCCEEDED""]",OK,
13,dev_0030,6,9_00078,14,1,222,14,17,390,457,3,67,"[""a367168f-33e8-4c0c-aeca-fd07f1d7777d""]","[""SUCCEEDED""]",OK,
13,dev_0030,7,14_00032,20,2,238,17,20,457,510,3,53,"[""48e72c4a-9a1d-4745-ab93-4166bc585198""]","[""SUCCEEDED""]",OK,
13,dev_0030,8,4_00060,18,1,344,20,22,510,590,2,80,"[""014fcd0e-5569-498f-b6c2-1e0a233da5e5""]","[""SUCCEEDED""]",OK,
13,dev_0030,9,4_00046,12,1,182,22,23,590,654,1,64,"[""ebec5455-5318-4993-b70d-6c9bd883d3de""]","[""SUCCEEDED""]",OK,
14,dev_0031,0,9_00067,20,2,428,0,3,0,73,3,73,"[""50d85856-686c-4432-959b-fd05fc4fbd36""]","[""SUCCEEDED""]",OK,
14,dev_0031,1,6_00091,18,1,202,3,4,73,99,1,26,"[""da2ecf84-fa1a-4882-bc00-9e47ee05de97""]","[""SUCCEEDED""]",OK,
14,dev_0031,2,17_00040,24,3,344,4,8,99,192,4,93,"[""4e80b2a0-70f8-48ac-a60f-fd4a496ce20a""]","[""SUCCEEDED""]",OK,
14,dev_0031,3,6_00079,16,1,323,8,8,192,211,0,19,"[""b399bd49-f819-4267-b380-3d40dec6502b""]","[""SUCCEEDED""]",OK,
14,dev_0031,4,5_00024,14,1,249,8,10,211,242,2,31,"[""89a76b3f-aa4c-45b5-8281-8cace78c228b""]","[""SUCCEEDED""]",OK,
14,dev_0031,5,2_00016,10,1,188,10,11,242,260,1,18,"[""b07f8044-15e1-4f60-8336-5b9a3c4d9c06""]","[""SUCCEEDED""]",OK,
14,dev_0031,6,1_00015,14,1,275,11,13,260,319,2,59,"[""fb261dbf-0ec2-444a-94cb-543fbb7ad056""]","[""SUCCEEDED""]",OK,
14,dev_0031,7,5_00089,10,0,83,13,17,319,354,4,35,"[""7d72b5a3-02eb-4eaa-ad69-02fb1706f9fc""]","[""SUCCEEDED""]",OK,
14,dev_0031,8,14_00121,14,3,280,17,20,354,446,3,92,"[""cbbc6503-1f16-42d0-8daa-0e366a3c0bb1""]","[""SUCCEEDED""]",OK,
14,dev_0031,9,5_00017,14,1,180,20,24,446,515,4,69,"[""df61de0c-b6b2-4732-8679-033813b561e7""]","[""SUCCEEDED""]",OK,
15,dev_0032,0,10_00124,14,2,145,0,4,0,62,4,62,"[""d50cd7f3-b647-4361-9bd0-38aa98a43721""]","[""SUCCEEDED""]",OK,
15,dev_0032,1,15_00097,18,2,334,4,6,62,109,2,47,"[""c7c3611e-7184-4a7a-b84a-ef5aec11c806""]","[""SUCCEEDED""]",OK,
15,dev_0032,2,18_00087,18,2,303,6,9,109,191,3,82,"[""86dcb1d5-51f9-4279-98dd-1fe5917e4e4a""]","[""SUCCEEDED""]",OK,
15,dev_0032,3,2_00088,16,1,189,9,10,191,220,1,29,"[""55c5da2e-f6e7-4135-b8d5-ce4560476e8b""]","[""SUCCEEDED""]",OK,
15,dev_0032,4,11_00112,32,2,548,10,11,220,261,1,41,"[""7121002f-eb2d-44bf-a852-d8b1a8bad057""]","[""SUCCEEDED""]",OK,
15,dev_0032,5,12_00011,24,2,439,11,13,261,334,2,73,"[""3d05d84a-6e27-4b9d-a5f4-fadccf8fa1b7""]","[""SUCCEEDED""]",OK,
15,dev_0032,6,19_00100,22,2,336,13,15,334,403,2,69,"[""3b39a8a0-5f8e-44fa-ad2a-4632387f84a5""]","[""SUCCEEDED""]",OK,
16,dev_0035,0,2_00123,18,0,199,0,2,0,32,2,32,"[""01a9ea74-b9c5-4f70-9f67-e91f707ace49""]","[""SUCCEEDED""]",OK,
16,dev_0035,1,16_00069,22,2,333,2,4,32,111,2,79,"[""31845200-c87a-46bc-85b8-04bb6ab236dc""]","[""SUCCEEDED""]",OK,
16,dev_0035,2,12_00126,8,2,118,4,6,111,149,2,38,"[""a3dcb68e-e9c2-471d-b7a6-411a97d73dc4""]","[""SUCCEEDED""]",OK,
16,dev_0035,3,20_00001,18,2,241,6,7,149,193,1,44,"[""c4a238e4-c291-4d2a-9f1c-4604967e2b98""]","[""SUCCEEDED""]",OK,
16,dev_0035,4,15_00025,22,2,464,7,9,193,252,2,59,"[""664583f1-51c3-4517-a8af-2d0a87a822df""]","[""SUCCEEDED""]",OK,
16,dev_0035,5,16_00086,20,2,253,9,10,252,279,1,27,"[""7b5b239d-1613-41c3-991a-abe8d07804e1""]","[""SUCCEEDED""]",OK,
17,dev_0036,0,3_00116,10,1,195,0,1,0,34,1,34,"[""7e831836-96a6-4a9f-bb1c-bfd1273e2934""]","[""SUCCEEDED""]",OK,
17,dev_0036,1,20_00062,24,3,211,1,3,34,111,2,77,"[""4f79a5f3-5179-48b0-adf5-b4848fbd8b49""]","[""SUCCEEDED""]",OK,
17,dev_0036,2,6_00004,12,1,165,3,4,111,141,1,30,"[""7960dde9-1893-481a-aa80-61fe8cc1c9c5""]","[""SUCCEEDED""]",OK,
17,dev_0036,3,2_00033,10,1,149,4,5,141,183,1,42,"[""cb08341a-face-4bd7-b7cd-30954eef8192""]","[""SUCCEEDED""]",OK,
17,dev_0036,4,15_00054,24,2,425,5,7,183,266,2,83,"[""7a6eb909-c252-462e-8668-c60e72c136dc""]","[""SUCCEEDED""]",OK,
18,dev_0037,0,14_00055,20,2,194,0,2,0,54,2,54,"[""251b27fb-609d-4b24-8b23-26d87ac93194""]","[""SUCCEEDED""]",OK,
18,dev_0037,1,7_00004,12,1,178,2,5,54,97,3,43,"[""694e5bc0-32d0-40cc-9c9e-647051d8962b""]","[""SUCCEEDED""]",OK,
